ligand,vina_affinity,cnn_pose_score
AA,-7.71,0.8516
AB,-9.77,0.9765
AC,-7.75,0.7516
AD,-9.09,0.9479
AE,-7.42,0.4987
AF,-7.56,0.6688
AG,-6.47,0.1966
AH,-9.44,0.9707
AI,-9.5,0.9545
AJ,-8.17,0.9703
AK,-10.14,0.8694
AL,-6.49,0.4771
AM,-7.11,0.8448
AN,-7.76,0.6677
AO,-8.53,0.9156
AP,-8.51,0.9859
AQ,-8.75,0.9764
AR,-9.67,0.9772
AS,-8.81,0.5451
AT,-9.39,0.9389
AU,-5.15,0.8447
AV,-8.19,0.8382
AW,-9.46,0.9053
AX,-6.91,0.6834
AY,-8.92,0.9704
AZ,-8.31,0.6638
A,-10.6,0.9027
BA,-4.8,0.5627
BB,-9.16,0.9773
BC,-7.68,0.3636
BD,-5.75,0.2197
BE,-9.11,0.9544
BF,-5.46,0.6482
BG,-6.55,0.2853
BH,-10.3,0.9913
BI,-6.6,0.6812
B,-10.41,0.9271
C,-10.95,0.9835
D,-8.4,0.9212
E,-10.0,0.9832
F,-9.34,0.7787
G,-6.77,0.4101
H,-10.0,0.9489
I,-5.79,0.3556
J,-6.98,0.3913
K,-11.05,0.9935
L,-7.67,0.2108
M,-8.54,0.248
N,-5.77,0.3064
O,-6.65,0.714
P,-6.27,0.849
Q,-7.17,0.0991
R,-4.65,0.3005
S,-8.0,0.1794
T,-4.07,0.729
U,-4.27,0.603
V,-2.93,0.5562
W,-9.25,0.9793
X,-9.16,0.8431
Y,-9.4,0.9
Z,-6.81,0.7154
